,timestamp,time_granted,V
269,2021-08-06 22:30:10,81010.0,(324.80557588784825+116.30278531558582j)
270,2021-08-06 22:35:10,81310.0,(334.17275419761995+85.75296118488906j)
271,2021-08-06 22:40:10,81610.0,(331.09144174446106+96.97142467538639j)
272,2021-08-06 22:45:10,81910.0,(327.2685834682993+109.18000858514714j)
273,2021-08-06 22:50:10,82210.0,(330.49635416459495+98.98060357418832j)
274,2021-08-06 22:55:10,82510.0,(330.85749539061635+97.76664944575046j)
275,2021-08-06 23:00:10,82810.0,(331.2166887613813+96.54276299105103j)
276,2021-08-06 23:05:10,83110.0,(336.29498246585905+77.01093927675201j)
277,2021-08-06 23:10:10,83410.0,(332.3127582564942+92.69968015026195j)
278,2021-08-06 23:15:10,83710.0,(334.4717529725676+84.57923186845413j)
279,2021-08-06 23:20:10,84010.0,(338.4078166481726+67.12041143658753j)
280,2021-08-06 23:25:10,84310.0,(337.9311557472332+69.48045750669185j)
281,2021-08-06 23:30:10,84610.0,(338.00042486873133+69.14269873643292j)
282,2021-08-06 23:35:10,84910.0,(330.868032823136+97.73098206683582j)
283,2021-08-06 23:40:10,85210.0,(322.358112666648+122.92374546033271j)
284,2021-08-06 23:45:10,85510.0,(324.6809649912835+116.6502077680488j)
285,2021-08-06 23:50:10,85810.0,(334.2254791073805+85.54723324247223j)
286,2021-08-06 23:55:10,86110.0,(333.42061496105646+88.63235029598924j)
