# timestamp,positive_sequence_voltage,distribution_load_real,distribution_load_reac
8/2/2021 11:15,199186,1468200,964906
8/2/2021 11:20,199186,1542630,949089
8/2/2021 11:25,199186,1536980,934457
8/2/2021 11:30,199186,1606160,936879
8/2/2021 11:35,199186,1606320,945394
8/2/2021 11:40,199186,1529710,913779
8/2/2021 11:45,199186,1477250,917999
8/2/2021 11:50,199186,1505390,936801
8/2/2021 11:55,199186,1496770,946578
8/2/2021 12:00,199186,1521580,955517
8/2/2021 12:05,199186,1493990,952762
8/2/2021 12:10,199186,1433740,957166
8/2/2021 12:15,199186,1363080,993899
8/2/2021 12:20,199186,1523170,999500
8/2/2021 12:25,199186,1531390,998846
8/2/2021 12:30,199186,1429570,990208
8/2/2021 12:35,199186,1176100,965068
8/2/2021 12:40,199186,1316460,1004610
8/2/2021 12:45,199186,1399270,1026750
8/2/2021 12:50,199186,1408970,1038820
8/2/2021 12:55,199186,1309370,1004330
8/2/2021 13:00,199186,1430140,1013600
8/2/2021 13:05,199186,1334420,998418
8/2/2021 13:10,199186,1343970,999614
8/2/2021 13:15,199186,1409760,1036850
8/2/2021 13:20,199186,1342380,1015890
8/2/2021 13:25,199186,1402630,1034320
8/2/2021 13:30,199186,1415840,1034650
8/2/2021 13:35,199186,1448460,1028790
8/2/2021 13:40,199186,1412690,1032970
8/2/2021 13:45,199186,1645580,1055050
8/2/2021 13:50,199186,1449700,1009530
8/2/2021 13:55,199186,1277360,992805
8/2/2021 14:00,199186,1324760,1011200
8/2/2021 14:05,199186,1330600,1013110
8/2/2021 14:10,199186,1454560,1042120
8/2/2021 14:15,199186,1509030,1043840
8/2/2021 14:20,199186,1530560,1035070
8/2/2021 14:25,199186,1624350,1085730
8/2/2021 14:30,199186,1513580,1055240
8/2/2021 14:35,199186,1622510,1086960
8/2/2021 14:40,199186,1709300,1115560
8/2/2021 14:45,199186,1547650,1051990
8/2/2021 14:50,199186,1674310,1075610
8/2/2021 14:55,199186,1581330,1047600
8/2/2021 15:00,199186,1627500,1060010
8/2/2021 15:05,199186,1781210,1107260
8/2/2021 15:10,199186,1801390,1088630
8/2/2021 15:15,199186,1837290,1102890
8/2/2021 15:20,199186,1770260,1083660
8/2/2021 15:25,199186,1883540,1098140
8/2/2021 15:30,199186,2036480,1111330
8/2/2021 15:35,199186,1737820,1027000
8/2/2021 15:40,199186,1997070,1114620
8/2/2021 15:45,199186,1783240,1043210
8/2/2021 15:50,199186,2084450,1140350
8/2/2021 15:55,199186,2001790,1097220
8/2/2021 16:00,199186,2086820,1130350
8/2/2021 16:05,199186,1928740,1094690
8/2/2021 16:10,199186,1938040,1100180
8/2/2021 16:15,199186,1944820,1096450
8/2/2021 16:20,199186,2013520,1100860
8/2/2021 16:25,199186,2014800,1090090
8/2/2021 16:30,199186,2041090,1097240
8/2/2021 16:35,199186,2063270,1099050
8/2/2021 16:40,199186,2091300,1105970
8/2/2021 16:45,199186,2080320,1087070
8/2/2021 16:50,199186,2048620,1084720
8/2/2021 16:55,199186,2185670,1132990
8/2/2021 17:00,199186,2267850,1117170
8/2/2021 17:05,199186,2269780,1105840
8/2/2021 17:10,199186,2173190,1054290
8/2/2021 17:15,199186,2162570,1052890
8/2/2021 17:20,199186,2104090,1031870
8/2/2021 17:25,199186,2137780,1044740
8/2/2021 17:30,199186,2195670,1070250
8/2/2021 17:35,199186,2297050,1104970
8/2/2021 17:40,199186,2286340,1084700
8/2/2021 17:45,199186,2213510,1051230
8/2/2021 17:50,199186,2233800,1053390
8/2/2021 17:55,199186,2275430,1061230
8/2/2021 18:00,199186,2270630,1071770
8/2/2021 18:05,199186,2203860,1048330
8/2/2021 18:10,199186,2148860,1026260
8/2/2021 18:15,199186,2203440,1041840
8/2/2021 18:20,199186,2197680,1048380
8/2/2021 18:25,199186,2190130,1049350
8/2/2021 18:30,199186,2196170,1053700
8/2/2021 18:35,199186,2228360,1065330
8/2/2021 18:40,199186,2273230,1075040
8/2/2021 18:45,199186,2143170,1034770
8/2/2021 18:50,199186,2270470,1072100
8/2/2021 18:55,199186,2252490,1056210
8/2/2021 19:00,199186,2294050,1070020
8/2/2021 19:05,199186,2202410,1026550
8/2/2021 19:10,199186,2171690,1001310
8/2/2021 19:15,199186,2175740,1015820
8/2/2021 19:20,199186,2159060,1013020
8/2/2021 19:25,199186,2100280,985311
8/2/2021 19:30,199186,2102820,989932
8/2/2021 19:35,199186,2117050,992382
8/2/2021 19:40,199186,2104940,974344
8/2/2021 19:45,199186,2076570,967505
8/2/2021 19:50,199186,2037960,963257
8/2/2021 19:55,199186,2068190,961855
8/2/2021 20:00,199186,2041910,958116
8/2/2021 20:05,199186,2007160,949158
8/2/2021 20:10,199186,2069000,966882
8/2/2021 20:15,199186,2047360,961615
8/2/2021 20:20,199186,2007160,947094
8/2/2021 20:25,199186,1997050,944166
8/2/2021 20:30,199186,2036420,958408
8/2/2021 20:35,199186,2011790,951134
8/2/2021 20:40,199186,2023760,954654
8/2/2021 20:45,199186,1958010,933838
8/2/2021 20:50,199186,1941510,931065
8/2/2021 20:55,199186,1937050,929148
8/2/2021 21:00,199186,1926640,929742
8/2/2021 21:05,199186,1923980,929391
8/2/2021 21:10,199186,1931840,929709
8/2/2021 21:15,199186,1983000,939615
8/2/2021 21:20,199186,1951430,936324
8/2/2021 21:25,199186,1899090,926402
8/2/2021 21:30,199186,1917690,928837
8/2/2021 21:35,199186,1909600,928523
8/2/2021 21:40,199186,1852250,915631
8/2/2021 21:45,199186,1814200,909673
8/2/2021 21:50,199186,1805720,908221
8/2/2021 21:55,199186,1795550,906463
8/2/2021 22:00,199186,1809130,908941
8/2/2021 22:05,199186,1814710,914632
8/2/2021 22:10,199186,1757980,906577
8/2/2021 22:15,199186,1727690,903937
8/2/2021 22:20,199186,1713750,901016
8/2/2021 22:25,199186,1667200,895838
8/2/2021 22:30,199186,1672110,895449
8/2/2021 22:35,199186,1634460,890869
8/2/2021 22:40,199186,1599060,888494
8/2/2021 22:45,199186,1557500,884821
8/2/2021 22:50,199186,1545850,885027
8/2/2021 22:55,199186,1532750,885635
8/2/2021 23:00,199186,1533950,885400
8/2/2021 23:05,199186,1495840,880220
8/2/2021 23:10,199186,1467590,879145
8/2/2021 23:15,199186,1449400,880293
8/2/2021 23:20,199186,1448240,878927
8/2/2021 23:25,199186,1414800,873926
8/2/2021 23:30,199186,1392870,873207
8/2/2021 23:35,199186,1369110,871709
8/2/2021 23:40,199186,1338240,870699
8/2/2021 23:45,199186,1327780,871297
8/2/2021 23:50,199186,1306180,868288
8/2/2021 23:55,199186,1263660,864228
8/3/2021 0:00,199186,1263400,862511
8/3/2021 0:05,199186,1230370,860197
8/3/2021 0:10,199186,1250140,860282
8/3/2021 0:15,199186,1248800,860528
8/3/2021 0:20,199186,1214800,857672
8/3/2021 0:25,199186,1181570,856045
8/3/2021 0:30,199186,1177340,853746
8/3/2021 0:35,199186,1172970,853296
8/3/2021 0:40,199186,1182790,852429
8/3/2021 0:45,199186,1136320,851523
8/3/2021 0:50,199186,1150880,851679
8/3/2021 0:55,199186,1146990,850478
8/3/2021 1:00,199186,1108240,848707
8/3/2021 1:05,199186,1100690,847733
8/3/2021 1:10,199186,1097420,845572
8/3/2021 1:15,199186,1072390,844597
8/3/2021 1:20,199186,1101750,845371
8/3/2021 1:25,199186,1095510,845425
8/3/2021 1:30,199186,1091590,845355
8/3/2021 1:35,199186,1099670,845465
8/3/2021 1:40,199186,1078960,843167
8/3/2021 1:45,199186,1091660,842965
8/3/2021 1:50,199186,1065240,842278
8/3/2021 1:55,199186,1055030,842177
8/3/2021 2:00,199186,1097640,843231
8/3/2021 2:05,199186,1082790,842400
8/3/2021 2:10,199186,1118680,843313
8/3/2021 2:15,199186,1059200,841776
8/3/2021 2:20,199186,1072970,842152
8/3/2021 2:25,199186,1101110,842909
8/3/2021 2:30,199186,1090640,842613
8/3/2021 2:35,199186,1084740,841055
8/3/2021 2:40,199186,1068770,840712
8/3/2021 2:45,199186,1095660,841009
8/3/2021 2:50,199186,1058940,840377
8/3/2021 2:55,199186,1086440,841217
8/3/2021 3:00,199186,1099540,841870
8/3/2021 3:05,199186,1069050,840735
8/3/2021 3:10,199186,1069050,840495
8/3/2021 3:15,199186,1095430,841025
8/3/2021 3:20,199186,1112380,841360
8/3/2021 3:25,199186,1132430,841494
8/3/2021 3:30,199186,1112180,841120
8/3/2021 3:35,199186,1125010,841406
8/3/2021 3:40,199186,1074800,840376
8/3/2021 3:45,199186,1068800,839945
8/3/2021 3:50,199186,1083510,840466
8/3/2021 3:55,199186,1110390,840697
8/3/2021 4:00,199186,1121530,840932
8/3/2021 4:05,199186,1121380,840844
8/3/2021 4:10,199186,1155920,841994
8/3/2021 4:15,199186,1110430,841432
8/3/2021 4:20,199186,1126350,841035
8/3/2021 4:25,199186,1119830,840606
8/3/2021 4:30,199186,1146950,841352
8/3/2021 4:35,199186,1186200,842320
8/3/2021 4:40,199186,1190000,842323
8/3/2021 4:45,199186,1178160,842314
8/3/2021 4:50,199186,1164750,841625
8/3/2021 4:55,199186,1207640,842283
8/3/2021 5:00,199186,1240990,843361
8/3/2021 5:05,199186,1223540,843666
8/3/2021 5:10,199186,1259600,844323
8/3/2021 5:15,199186,1187520,842925
8/3/2021 5:20,199186,1195890,842613
8/3/2021 5:25,199186,1253130,844224
8/3/2021 5:30,199186,1254350,843827
8/3/2021 5:35,199186,1270740,844198
8/3/2021 5:40,199186,1277640,844445
8/3/2021 5:45,199186,1250600,844317
8/3/2021 5:50,199186,1276980,844154
8/3/2021 5:55,199186,1313340,845318
8/3/2021 6:00,199186,1306170,844721
